R;Classic;DPLS;DiPLS;SOPLS;;SODPLS;;SOBDPLS;;;;;;SODiPLS;;
H;;;;S;P;S;P;S1;S2;S3;P1;P2;P3;S;P;
1;4;7;3;2;2;2;5;2;0;0;2;0;0;1;2;
2;4;8;2;1;2;2;5;1;1;0;3;2;0;1;1;
3;4;8;3;2;2;2;2;2;0;0;2;2;1;1;1;
4;3;8;3;1;2;2;5;1;1;1;2;0;0;1;1;
5;4;8;3;2;2;3;4;2;0;0;2;0;0;1;1;
6;4;8;2;2;2;2;2;2;1;0;3;2;0;1;1;
7;4;8;3;2;2;3;2;2;0;0;2;2;1;1;1;
8;3;9;3;1;2;3;4;1;1;2;2;0;0;1;1;
9;4;7;3;1;2;2;5;1;0;0;2;0;0;1;1;
10;3;6;2;1;2;2;5;1;1;0;3;2;0;1;1;
11;3;6;2;1;2;2;4;1;0;0;2;2;2;1;1;
12;3;5;3;1;2;1;5;1;1;2;2;0;0;1;1;
13;7;11;6;3;2;5;5;3;0;0;2;0;0;3;1;
14;5;10;4;2;2;2;3;2;2;0;3;2;0;2;1;
15;6;11;6;3;2;5;2;3;0;0;2;2;2;2;1;
16;3;10;4;1;2;3;5;1;2;2;2;0;0;2;1;
17;7;11;6;3;2;5;5;3;0;0;2;0;0;3;1;
18;4;10;4;2;2;4;2;2;2;0;3;2;0;2;1;
19;6;11;6;3;2;5;2;3;0;0;2;2;1;3;1;
20;3;10;4;2;1;4;4;2;2;2;2;0;0;2;1;
21;6;11;6;2;2;2;5;2;0;0;2;0;0;2;1;
22;4;10;4;2;2;2;5;2;2;0;3;2;0;1;1;
23;6;11;6;3;2;2;2;3;0;0;2;2;2;2;1;
24;2;4;4;1;2;2;5;1;2;1;2;0;0;1;1;
H;-;-;-;S;P;S;P;S1;S2;S3;P1;P2;P3;S;P;
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
6;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
8;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
9;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
10;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
12;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
14;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
16;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
18;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
19;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
20;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
22;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
23;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;
24;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;
